session_id,user_id,store_id,timestamp,semantic_action,product_hash,product_category,price_bucket,url_hash,persona
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010703843,explore-stay,c07420a4b94c378a,Aprons,1,55158385da058edd,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010719349,detail,c07420a4b94c378a,Aprons,1,55158385da058edd,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010719349,explore-search,,,,9271be18326a43d8,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010720495,explore-stay,6ba1729a7838d58b,Aprons,1,fc5f4962dd2d26d5,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010752030,detail,6ba1729a7838d58b,Aprons,1,fc5f4962dd2d26d5,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010752030,explore-search,,,,9271be18326a43d8,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010753078,detail,c07420a4b94c378a,Aprons,1,55158385da058edd,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010758958,checkout,c07420a4b94c378a,Aprons,1,55158385da058edd,39
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010758959,terminate,,,,55158385da058edd,39
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010131855,explore-search,,,,9271be18326a43d8,32
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010131855,detail,c07420a4b94c378a,Aprons,1,55158385da058edd,32
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010140651,explore-search,,,,9271be18326a43d8,32
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010141704,detail,6ba1729a7838d58b,Aprons,1,fc5f4962dd2d26d5,32
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010150460,checkout,6ba1729a7838d58b,Aprons,1,00477e633cf4b47c,32
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010150461,terminate,,,,00477e633cf4b47c,32
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009526223,explore-search,,,,857230ad706d608b,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009527807,explore-stay,edf52a4113529083,Hats,4,f2c8379ac7193732,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009543066,detail,edf52a4113529083,Hats,4,f2c8379ac7193732,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009543066,explore-search,,,,db4b86aa245ade31,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009544754,detail,69278a5da2afdfcd,Hats,4,c1c518dcb5a50e6f,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009551633,checkout,69278a5da2afdfcd,Hats,4,c1c518dcb5a50e6f,24
307da1fb-07f7-5099-ab95-c001dfa3b0e8,cd245028-d2e4-54b0-8654-4eab10728f89,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777009551634,terminate,,,,c1c518dcb5a50e6f,24
