session_id,user_id,store_id,timestamp,semantic_action,raw_action,product_hash,product_id,url_hash,url,created_at,persona,product_category,price_bucket,product_slug,price
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010703843,explore-stay,"{""action"": ""scroll/browse""}",c07420a4b94c378a,1ff90844-8918-5496-ad49-c78140d2de0c,55158385da058edd,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r,2026-04-24T06:05:03.843000+00:00,39,Aprons,1,awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010719349,detail,"{""product"": ""awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue"", ""url"": ""https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r""}",c07420a4b94c378a,1ff90844-8918-5496-ad49-c78140d2de0c,55158385da058edd,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r,2026-04-24T06:05:19.349000+00:00,39,Aprons,1,awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010719349,explore-search,"{""query"": ""apron""}",,,9271be18326a43d8,https://arklex-test-store.myshopify.com/search?q=apron&_pos=1&_psq=aprons&_ss=e&_v=1.0,2026-04-24T06:05:19.349000+00:00,39,,,,
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010720495,explore-stay,"{""action"": ""scroll/browse""}",6ba1729a7838d58b,1071f400-7aa2-5dd7-a01d-91300902150b,fc5f4962dd2d26d5,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all?_pos=2&_sid=e8cccb252&_ss=r,2026-04-24T06:05:20.495000+00:00,39,Aprons,1,awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010752030,detail,"{""product"": ""awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all"", ""url"": ""https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all?_pos=2&_sid=e8cccb252&_ss=r""}",6ba1729a7838d58b,1071f400-7aa2-5dd7-a01d-91300902150b,fc5f4962dd2d26d5,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all?_pos=2&_sid=e8cccb252&_ss=r,2026-04-24T06:05:52.030000+00:00,39,Aprons,1,awhale-denim-apron-with-5-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010752030,explore-search,"{""query"": ""apron""}",,,9271be18326a43d8,https://arklex-test-store.myshopify.com/search?q=apron&_pos=1&_psq=aprons&_ss=e&_v=1.0,2026-04-24T06:05:52.030000+00:00,39,,,,
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010753078,detail,"{""product"": ""awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue"", ""url"": ""https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r""}",c07420a4b94c378a,1ff90844-8918-5496-ad49-c78140d2de0c,55158385da058edd,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r,2026-04-24T06:05:53.078000+00:00,39,Aprons,1,awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010758958,checkout,"{""button_text"": ""Buy it now""}",c07420a4b94c378a,1ff90844-8918-5496-ad49-c78140d2de0c,55158385da058edd,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r,2026-04-24T06:05:58.958000+00:00,39,Aprons,1,awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue,19.99
1cd49b89-47b8-51b6-8d0c-4c5a2c55930f,bf7bf385-5439-5d2a-aa58-8ed36cc10dc7,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010758959,terminate,"{""action"": ""session_end""}",,,55158385da058edd,https://arklex-test-store.myshopify.com/products/awhale-denim-apron-with-3-pockets-for-men-and-women-lightweight-multipurpose-canvas-apron-for-bbq-gardening-painting-carpentry-one-size-fits-all-blue?_pos=1&_sid=e8cccb252&_ss=r,2026-04-24T06:05:58.959000+00:00,39,,,,
1e2e7a30-c740-5616-9424-f1ab93b022ac,e24107f1-b220-5e0d-8507-0be5a8884a0e,5eb4c7c1-cce3-5267-9a55-d0bb6b19419d,1777010131855,explore-search,"{""query"": ""apron""}",,,9271be18326a43d8,https://arklex-test-store.myshopify.com/search?q=apron&_pos=1&_psq=aprons&_ss=e&_v=1.0,2026-04-24T05:55:31.855000+00:00,32,,,,
